Group,Subgroup,Food Item,Health Rank (1=Best),Notes
탄수화물,쌀 종류,야생현미(Wild rice),1,"혈당을 천천히 올려 안정적인 식사 후 혈당 관리를 돕습니다"
탄수화물,쌀 종류,흑미(검은쌀),2,"항산화 성분과 섬유질로 혈당을 부드럽게 조절해 줍니다"
탄수화물,쌀 종류,현미,3,"자연스러운 식감과 함께 혈당을 완만하게 유지시켜 줍니다"
탄수화물,쌀 종류,적미(홍미),4,"풍부한 섬유질로 백미보다 혈당 부담을 줄여줍니다"
탄수화물,쌀 종류,현미 바스마티쌀,5,"향과 맛이 좋으면서 혈당 반응은 느리게 일어납니다"
탄수화물,쌀 종류,파보일드(가공미) 백미,6,"가공 과정 덕분에 소화가 느려 혈당이 천천히 오릅니다"
탄수화물,쌀 종류,백미 바스마티쌀,7,"부드러운 식감에도 불구하고 일반 백미보다 혈당에 덜 영향을 줍니다"
탄수화물,쌀 종류,일반 멥쌀 백미(장립종),8,"담백하지만 빠른 소화로 혈당을 빨리 올릴 수 있습니다"
탄수화물,쌀 종류,단립종 찹쌀(백미),9,"찰진 식감이 좋지만 혈당은 빠르게 올라갑니다"
탄수화물,쌀 종류,찹쌀밥/백미죽,10,"부드럽고 소화가 잘되지만 혈당은 급격히 오릅니다"
탄수화물,빵 종류,발아곡물빵(Ezekiel 등),1,"저GI 덕분에 식후 혈당을 안정적으로 유지해 줍니다"
탄수화물,빵 종류,펌퍼니켈 호밀빵,2,"거친 질감 덕분에 혈당이 천천히 올라갑니다"
탄수화물,빵 종류,100% 통밀빵,3,"탄탄한 섬유질이 혈당 스파이크를 막아줍니다"
탄수화물,빵 종류,통곡물 혼합빵(잡곡빵),4,"다양한 곡물의 힘으로 혈당을 완만하게 조절합니다"
탄수화물,빵 종류,귀리 함유 빵,5,"귀리의 베타글루칸이 혈당을 부드럽게 다스립니다"
탄수화물,빵 종류,사워도우(천연 발효종) 빵,6,"자연 발효가 혈당을 한층 더 느리게 올려줍니다"
탄수화물,빵 종류,호밀빵(일반),7,"건강한 풍미와 함께 중간 정도로 혈당을 올립니다"
탄수화물,빵 종류,무설탕 통밀 피타,8,"간단하면서도 혈당에는 덜 부담을 줍니다"
탄수화물,빵 종류,밀가루 흰빵,9,"부드럽지만 혈당은 빠르게 오릅니다"
탄수화물,빵 종류,단빵/크루아상 등 달거나 크림 든 빵,10,"맛은 풍부하지만 혈당과 건강에는 큰 부담을 줍니다"
탄수화물,면/국수 종류,곤약면(곤약국수),1,"탄수화물이 거의 없어 혈당에 부담이 없습니다"
탄수화물,면/국수 종류,당면(녹두/고구마),2,"소화가 느려 혈당을 서서히 올립니다"
탄수화물,면/국수 종류,검은콩두부면/블랙빈 파스타,3,"단백질과 섬유질 덕분에 혈당을 완만하게 올립니다"
탄수화물,면/국수 종류,렌틸/병아리콩 파스타,4,"콩의 힘으로 혈당 반응을 안정시킵니다"
탄수화물,면/국수 종류,완두콩/에다마메면,5,"담백하면서 혈당은 천천히 오릅니다"
탄수화물,면/국수 종류,통밀 스파게티(알덴테),6,"쫄깃한 식감과 함께 혈당을 차분히 올려줍니다"
탄수화물,면/국수 종류,메밀국수(소바),7,"은은한 풍미와 함께 혈당을 완만하게 올립니다"
탄수화물,면/국수 종류,쌀국수,8,"가볍지만 혈당은 빨리 오릅니다"
탄수화물,면/국수 종류,우동(밀국수),9,"담백하지만 혈당을 빨리 올릴 수 있습니다"
탄수화물,면/국수 종류,즉석 라면(튀긴 면),10,"편리하지만 혈당과 건강에는 불리합니다"
탄수화물,곡류(통곡물),보리,1,"풍부한 섬유가 혈당을 부드럽게 조절합니다"
탄수화물,곡류(통곡물),퀴노아,2,"완전 단백질로 혈당에 긍정적인 영향을 줍니다"
탄수화물,곡류(통곡물),강낭콩 등 콩류,3,"혈당 반응이 거의 없는 든든한 탄수화물입니다"
탄수화물,곡류(통곡물),귀리(오트밀),4,"부드러운 식감과 함께 혈당을 안정시켜 줍니다"
